mom_code,mom_name
mom_0,2022-10-01
mom_1,2022-10-08
mom_2,2022-10-15
mom_3,2022-10-22
mom_4,2022-10-29
mom_5,2022-11-05
mom_6,2022-11-12
mom_7,2022-11-19
mom_8,2022-11-26
mom_9,2022-12-03
mom_10,2022-12-10
mom_11,2022-12-17
mom_12,2022-12-24
mom_13,2022-12-31
mom_14,2023-01-07
mom_15,2023-01-14
mom_16,2023-01-21
mom_17,2023-01-28
mom_18,2023-02-04
mom_19,2023-02-11
mom_20,2023-02-18
mom_21,2023-02-25
mom_22,2023-03-04
mom_23,2023-03-11
mom_24,2023-03-18
mom_25,2023-03-25
mom_26,2023-04-01
mom_27,2023-04-08
mom_28,2023-04-15
mom_29,2023-04-22
mom_30,2023-04-29
mom_31,2023-05-06
mom_32,2023-05-13
mom_33,2023-05-20
mom_34,2023-05-27
mom_35,2023-06-03
mom_36,2023-06-10
mom_37,2023-06-17
mom_38,2023-06-24
mom_39,2023-07-01
mom_40,2023-07-08
mom_41,2023-07-15
mom_42,2023-07-22
mom_43,2023-07-29
mom_44,2023-08-05
mom_45,2023-08-12
mom_46,2023-08-19
mom_47,2023-08-26
mom_48,2023-09-02
mom_49,2023-09-09
mom_50,2023-09-16
mom_51,2023-09-23
mom_52,2023-09-30
mom_53,2023-10-07
mom_54,2023-10-14
mom_55,2023-10-21
mom_56,2023-10-28
mom_57,2023-11-04
mom_58,2023-11-11
mom_59,2023-11-18
mom_60,2023-11-25
mom_61,2023-12-02
mom_62,2023-12-09
mom_63,2023-12-16
mom_64,2023-12-23
mom_65,2023-12-30
mom_66,2024-01-06
mom_67,2024-01-13
mom_68,2024-01-20
mom_69,2024-01-27
mom_70,2024-02-03
mom_71,2024-02-10
mom_72,2024-02-17
mom_73,2024-02-24
mom_74,2024-03-02
mom_75,2024-03-09
mom_76,2024-03-16
mom_77,2024-03-23
mom_78,2024-03-30
mom_79,2024-04-06
mom_80,2024-04-13
mom_81,2024-04-20
mom_82,2024-04-27
mom_83,2024-05-04
mom_84,2024-05-11
mom_85,2024-05-18
mom_86,2024-05-25
mom_87,2024-06-01
mom_88,2024-06-08
mom_89,2024-06-15
mom_90,2024-06-22
mom_91,2024-06-29
mom_92,2024-07-06
mom_93,2024-07-13
mom_94,2024-07-20
mom_95,2024-07-27
mom_96,2024-08-03
mom_97,2024-08-10
mom_98,2024-08-17
mom_99,2024-08-24
