week_end,disease,geography,percent_visits,trend_on_date,recent_trend
2022-10-01,Pneumonia,Alabama,1.6,Decreasing,Decreasing
2022-10-01,Pneumonia,Alaska,1.6,Decreasing,No Change
2022-10-01,Pneumonia,Arizona,1.0,Decreasing,Increasing
2022-10-01,Pneumonia,Arkansas,1.2,Decreasing,Decreasing
2022-10-01,Pneumonia,California,1.6,Decreasing,No Change
2022-10-01,Pneumonia,Colorado,3.4,Increasing,Increasing
2022-10-01,Pneumonia,Connecticut,2.7,No Change,No Change
2022-10-01,Pneumonia,Delaware,1.8,Decreasing,No Change
2022-10-01,Pneumonia,District of Columbia,1.5,Decreasing,Decreasing
2022-10-01,Pneumonia,Florida,0.6,Decreasing,Increasing
2022-10-01,Pneumonia,Georgia,2.9,Decreasing,Decreasing
2022-10-01,Pneumonia,Hawaii,2.3,Decreasing,No Change
2022-10-01,Pneumonia,Idaho,1.8,Decreasing,Increasing
2022-10-01,Pneumonia,Illinois,1.4,Decreasing,Increasing
2022-10-01,Pneumonia,Indiana,2.7,Decreasing,Increasing
2022-10-01,Pneumonia,Iowa,1.7,Decreasing,Increasing
2022-10-01,Pneumonia,Kansas,1.8,Decreasing,Increasing
2022-10-01,Pneumonia,Kentucky,1.1,Decreasing,Decreasing
2022-10-01,Pneumonia,Louisiana,4.1,Increasing,Increasing
2022-10-01,Pneumonia,Maine,2.2,Decreasing,No Change
2022-10-01,Pneumonia,Maryland,3.2,Increasing,Increasing
2022-10-01,Pneumonia,Massachusetts,3.1,Decreasing,Increasing
2022-10-01,Pneumonia,Michigan,2.3,Decreasing,Increasing
2022-10-01,Pneumonia,Minnesota,0.8,Decreasing,No Change
2022-10-01,Pneumonia,Mississippi,2.9,Increasing,No Change
2022-10-01,Pneumonia,Missouri,1.8,Decreasing,Increasing
2022-10-01,Pneumonia,Montana,1.3,Decreasing,Increasing
2022-10-01,Pneumonia,Nebraska,1.4,No Change,No Change
2022-10-01,Pneumonia,Nevada,2.8,Increasing,No Change
2022-10-01,Pneumonia,New Hampshire,2.1,Decreasing,No Change
2022-10-01,Pneumonia,New Jersey,2.3,No Change,No Change
2022-10-01,Pneumonia,New Mexico,2.2,Decreasing,Increasing
2022-10-01,Pneumonia,New York,3.3,Increasing,Increasing
2022-10-01,Pneumonia,North Carolina,2.6,Decreasing,Decreasing
2022-10-01,Pneumonia,North Dakota,2.4,No Change,Decreasing
2022-10-01,Pneumonia,Ohio,2.2,Decreasing,Increasing
2022-10-01,Pneumonia,Oklahoma,1.5,Decreasing,No Change
2022-10-01,Pneumonia,Oregon,2.1,Decreasing,Increasing
2022-10-01,Pneumonia,Pennsylvania,0.9,Decreasing,Increasing
2022-10-01,Pneumonia,Rhode Island,1.9,Decreasing,Increasing
2022-10-01,Pneumonia,South Carolina,1.4,Decreasing,Decreasing
2022-10-01,Pneumonia,South Dakota,2.5,Increasing,No Change
2022-10-01,Pneumonia,Tennessee,1.4,Decreasing,Increasing
2022-10-01,Pneumonia,Texas,1.2,Decreasing,Increasing
2022-10-01,Pneumonia,Utah,1.0,Decreasing,Decreasing
2022-10-01,Pneumonia,Vermont,1.9,Decreasing,No Change
2022-10-01,Pneumonia,Virginia,3.7,No Change,Increasing
2022-10-01,Pneumonia,Washington,2.1,Decreasing,Increasing
2022-10-01,Pneumonia,West Virginia,2.8,No Change,Decreasing
2022-10-01,Pneumonia,Wisconsin,2.6,Decreasing,Increasing
2022-10-01,Pneumonia,Wyoming,2.1,Decreasing,Increasing
2022-10-01,Bronchitis,Alabama,0.1,No Change,No Change
2022-10-01,Bronchitis,Alaska,0.2,No Change,No Change
2022-10-01,Bronchitis,Arizona,0.3,Increasing,No Change
2022-10-01,Bronchitis,Arkansas,0.2,Increasing,No Change
2022-10-01,Bronchitis,California,0.1,Increasing,No Change
2022-10-01,Bronchitis,Colorado,0.1,Increasing,No Change
2022-10-01,Bronchitis,Connecticut,0.1,No Change,No Change
2022-10-01,Bronchitis,Delaware,0.1,No Change,No Change
2022-10-01,Bronchitis,District of Columbia,0.7,Increasing,No Change
2022-10-01,Bronchitis,Florida,1.3,Increasing,No Change
2022-10-01,Bronchitis,Georgia,1.4,No Change,Decreasing
2022-10-01,Bronchitis,Hawaii,0.1,No Change,No Change
2022-10-01,Bronchitis,Idaho,0.1,Increasing,No Change
